pathway	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Description
PWY-7560	11195.1515	13864.8339	19745.3633	21276.7107	27385.6495	21374.0473	12301.1207	24979.5224	18740.1199	28113.2507	17195.0166	17521.289	16970.5913	24294.0082	23092.7721	22029.095	25546.5334	22807.907	9077.6876	23390.8937	23724.9459	25354.6224	22910.0974	21792.8035	25925.315	22869.0487	14156.9879	31946.6715	30562.5587	32136.4342	25655.5398	24819.0131	24655.2165	29578.7184	15552.0864	14782.5577	12045.267	14534.6587	14020.2877	21589.9116	14035.8034	16315.8849	16899.6252	15757.7583	17162.2026	14468.2538	16189.3494	15946.1092	27546.8792	26280.957	24620.8464	26856.1916	28479.9152	23689.088	19130.1483	39042.315	22696.8393	18547.2351	19530.0821	15328.4242	25521.5552	37430.9983	23647.6718	26152.7335	21996.9406	22436.2164	30063.8357	28596.8085	23219.5572	17193.0702	19727.4633	20520.5829	19667.5269	21979.4899	1591.8982	22741.887	17186.5607	22761.3932	22124.9992	22902.178	26905.3365	23171.3423	26757.4948	33778.7447	25774.2065	25906.6195	25671.3576	25243.3351	23426.8386	22866.2797	27988.1914	30660.8588	26769.543	28027.5011	31038.5316	23293.9675	16718.8845	19372.3358	32253.5246	23814.0134	19165.199	29575.2478	27045.1742	21228.003	23359.9942	22812.3344	24712.428	22352.975	17491.8235	19121.5672	23187.6952	22054.9689	15701.9201	33029.8776	27766.4923	23771.8654	20025.2926	32272.2848	21234.8883	17514.7884	17240.3027	20226.2627	22414.2544	21376.3206	17646.4431	20733.2283	19023.4404	16625.0778	14660.4028	19448.0949	31144.2688	22188.9335	21245.5793	22528.6914	30749.4285	17937.3517	14578.5814	17336.2382	18212.4819	20505.9184	14697.0868	14984.3662	32302.7947	39303.5972	26757.3292	20744.4305	27048.0839	20565.8506	27331.2557	21064.0697	26063.3376	20463.9068	16824.0085	22225.1701	24975.9209	16268.85	22840.2109	20141.7979	17294.1741	23618.2958	24996.3444	19010.7054	18662.709	17405.1263	21340.3086	6853.3077	13733.1632	13236.3036	20868.2188	22524.3506	15659.7073	methylerythritol phosphate pathway II
PWY-7616	0.0	0.0	0.0	0.0	0.0	5.9997	0.0	94.0511	0.0	0.0	0.0	0.0	0.0	14.3985	0.0	0.0	45.2954	7.4995	32.9353	0.0	4.2855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.2854	29.9913	0.0	21.5041	0.0	0.0	0.0	0.0	0.0	0.0	7.4995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.9162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9981	0.0	0.0	0.0	4.7999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9999	0.0	0.0	0.0	5.9998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4999	0.0	0.0	0.0	0.0	0.0	0.0	5.9995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9997	0.0	0.0	methanol oxidation to carbon dioxide
PWY-7644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.2904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6535	0.0	0.0	0.0	0.0	0.0	0.0	18.1003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	heparin degradation
PWY-7663	12626.5589	22320.1227	15628.4997	27723.155	33604.3934	24790.4469	15789.6705	22291.1214	23909.1577	31817.8962	24344.0733	21329.5877	23410.2347	17361.3891	37051.499	27777.2078	22435.4264	24910.408	27071.1607	29894.9659	35933.1486	35628.9202	28851.2829	30019.5713	32585.7013	28367.6508	14145.0023	25655.1171	59419.5506	57501.9206	30923.6394	30855.9679	38581.5401	36616.5106	20058.6556	19317.9965	11966.7527	10613.9836	7312.4825	19577.2399	11032.9406	17084.1065	11769.0063	18414.5945	13986.1965	16579.2083	7752.0662	4382.2023	19045.3013	17196.6379	22402.2501	57255.1125	36238.0113	27434.6631	21037.8122	2943.9489	22168.53	17894.0353	22386.1171	22093.6854	38435.7937	45869.7121	27247.8716	13065.8161	24975.6632	24785.2304	12812.7761	31974.9921	11738.7315	20292.1763	23111.7565	26077.8612	24306.1929	34919.1095	19096.4856	26122.694	8569.9902	31321.0796	10754.5247	23763.9613	31767.1335	29456.6057	29892.1839	52973.3973	48361.5521	28385.3787	26462.003	29258.3131	23385.3074	27762.2229	32754.6179	13914.902	33243.3196	32912.0518	37476.0514	41841.818	23663.2008	28491.784	41541.171	4897.8399	23709.5646	36787.5937	31300.2462	29954.1486	26663.1041	26629.7556	34136.9043	27338.0451	24516.245	23920.3691	24202.2328	25618.9802	20144.5404	40243.4679	32680.867	25964.1235	25667.2657	38798.2517	26892.0095	13483.3337	19711.2744	25471.6144	29522.3781	25006.2884	19711.4415	30498.5123	22858.1192	18485.8616	18994.3295	23548.4852	32170.5349	31753.4552	23399.475	32060.2571	36463.508	23049.6348	20565.4955	20662.5966	20467.544	33872.5565	17198.685	17829.9007	42462.1647	43980.2328	31673.6209	25236.9794	39451.4866	28931.4885	49845.2514	25480.2682	23467.8322	24154.6067	19939.0019	35575.2014	31084.35	18191.2079	26311.257	23217.7266	20063.8457	26702.665	53171.0566	17380.1899	19667.2218	20033.7549	21833.7481	22750.2469	16441.3165	15094.4999	15043.5889	26547.9353	19035.4654	gondoate biosynthesis (anaerobic)
PWY-7664	2271.1502	15761.8403	1175.8339	11528.4016	4358.6697	10885.5587	1246.1283	4585.7886	15956.6946	27374.5741	19256.7051	9506.8517	15820.4777	11274.9469	23823.1775	13161.1337	4021.8277	19392.5159	470.9154	14152.366	18099.9989	27582.442	11948.0843	23835.6271	12468.3001	26303.7545	4682.3497	14790.9183	46160.325	43635.8525	12806.7738	6555.7278	28554.3955	31693.6218	9855.9187	13564.0719	419.6019	101.4907	3146.8766	2827.2444	200.4796	604.4932	2484.401	2712.6068	11269.3631	9313.9798	236.658	41.4337	3782.0493	300.9997	8139.1246	55305.4997	13078.4293	5404.1821	833.3382	1781.3023	5996.2138	1528.8835	1850.4789	19329.1325	30814.6314	10713.7337	16966.7643	2485.2939	734.97	1169.962	2513.8642	23061.1757	4053.089	1598.9148	3741.1185	15789.8205	12195.6869	23487.2843	992.5277	9406.7961	918.3975	13611.3634	6434.4264	7182.6976	4668.3798	22631.1227	11994.5127	33626.1324	41939.3813	5050.975	2891.6452	14971.8721	15252.0426	22669.6649	13158.8984	1422.8199	23334.7538	12855.1167	15973.2244	29171.1008	16180.3288	13782.8189	13415.1495	1031.5219	3291.6544	31432.7673	7193.3679	15172.5269	4328.8412	12359.0584	20710.752	9059.9833	7215.2662	8559.0202	4031.2417	10887.3695	9367.7811	37318.8305	26025.733	10599.1727	17350.3869	36359.0477	13993.961	8738.8649	142.6332	7535.6739	22353.7326	6214.5399	4178.9978	26229.9339	6131.2185	1343.8387	2515.6511	1863.0776	4063.4261	19674.9813	2504.6533	25496.2683	36355.2208	11974.3654	10906.9271	3096.3418	11244.6144	33642.996	6965.7323	3075.4785	36127.5598	6753.5541	16474.3256	4833.5144	22645.6505	25729.2414	42340.8334	8049.1351	3282.4961	6138.4344	6559.3549	23982.0754	6672.1971	1997.988	22152.4286	1383.1493	6545.5095	16919.981	41093.096	10870.0644	191.2846	8742.8828	20269.3507	475.4757	5036.208	711.34	3469.2468	11707.9283	7350.0226	oleate biosynthesis IV (anaerobic)
PWY-841	6296.8405	13903.0851	2901.4844	14282.0652	6030.8534	15085.0666	5285.3398	19063.2344	17135.7722	24589.7573	15655.419	11971.576	14796.537	17972.54	22486.5371	18056.3689	24374.3897	21237.907	30835.3418	22111.0716	24033.326	24108.8327	12988.2871	22229.9562	20406.3374	23441.0783	6046.7381	24151.9817	33377.6563	33623.1844	14485.7359	9949.9865	24661.4285	30727.9781	10230.6596	11680.0941	2424.0534	11804.852	6791.1687	9073.2766	11270.6321	2340.7162	12727.5684	5200.4095	14617.5111	15924.6943	7556.7805	8926.495	15299.19	4484.9967	22151.064	31220.9837	15373.3765	4596.9588	6280.6376	5402.3654	17761.3642	5177.3907	7063.4335	10004.3593	25006.2895	18268.3594	22074.1705	6830.897	20959.6855	6494.7587	17968.236	28113.6003	16007.6637	6519.4772	6139.0365	18202.9913	18293.7567	24754.7805	5455.0602	9961.9012	11971.2909	25287.6482	12435.1528	22082.1367	20336.2713	19859.9917	32124.0719	38843.5238	26694.2187	18725.334	7918.1667	15417.1332	21333.165	22654.9994	18449.3869	7184.8349	24212.3884	30572.8667	33558.7347	27470.5583	20724.8851	21841.559	34958.9101	5043.3447	8932.016	30435.268	6134.0301	18080.4191	4699.3477	10453.2916	17197.341	9967.8033	10766.1338	12561.4803	9531.8482	14242.5651	8987.5405	34786.3489	24588.8605	12536.1253	17072.1109	34651.575	15978.694	10535.0627	1661.9276	8385.3381	22759.9868	8897.5514	8753.4537	20563.2816	5717.2631	3768.3897	10259.6439	16279.8835	8345.681	17533.3032	3556.5298	20341.2034	34952.1199	10718.7006	12355.1405	7814.0429	12231.453	23987.0512	7836.348	5378.5211	35147.0007	12220.2519	19842.419	9951.0028	22509.3609	20196.0224	30451.2522	9049.6561	23107.8124	6042.5051	10154.8335	22524.2958	18794.9713	7979.4014	22217.7491	5326.9179	5949.7858	23166.8559	27561.3216	11711.6698	3807.3351	4326.0952	22876.4847	16567.8455	5114.2686	2970.4938	12086.3705	13068.7944	8998.3976	superpathway of purine nucleotides de novo biosynthesis I
PWY-922	162.5666	18.1917	736.9414	32.1483	48.4715	2.7996	1252.6956	149.3376	373.5788	27.9533	31.6776	540.3874	12.5587	76.1784	349.0927	161.862	1164.7077	47.2314	21654.2797	216.6085	337.5395	109.7892	302.5494	268.6391	966.166	2651.902	16.5319	309.1793	169.1651	398.3439	683.091	204.1861	2399.8053	705.9192	95.7749	399.8809	480.6932	1291.4426	816.0815	411.2976	0.0	0.0	249.2848	9.5789	54.4742	298.8709	280.524	846.7316	1278.1761	23.4813	1832.8069	163.5237	1202.2438	11.1173	133.5318	348.7236	144.408	16.6873	415.9484	6298.3766	1150.097	15.1925	570.899	280.653	58.0425	828.8327	264.2205	0.0	0.0	1155.1991	22.3507	343.231	176.1027	40.5735	14206.9222	0.0	93.7057	171.2173	69.1649	2600.2856	305.8015	93.8016	2910.138	2536.5986	212.7438	23.736	632.0844	11.1927	30.7211	403.0491	128.0473	44.5293	266.2537	183.5128	787.5317	2246.2156	10238.9274	6519.1997	1701.8132	931.5834	1981.2169	21.5033	97.6577	157.4441	11.7526	0.0	0.0	214.6312	3089.5648	0.0	200.3924	4.1992	6.9791	0.0	2077.102	1158.8504	106.0098	0.0	18.188	40.501	191.9203	33.4375	134.5773	6.9942	41.8443	841.5247	291.3875	2.7858	3016.925	4.1823	20.9197	349.6089	6.9867	15.95	107.6049	23.8735	27.1106	0.0	6.9879	1503.8567	170.3914	99.4348	230.5149	12.5903	13.8595	11.1867	216.0774	115.4068	0.0	0.0	44.0915	15.3522	15.3825	1259.8716	1724.7813	872.1067	143.7299	65.9473	4.1869	189.4944	95.1163	852.8712	245.0015	44.0303	477.0335	4193.9287	0.0	13.2532	947.9169	154.0729	104.4298	mevalonate pathway I
PWY0-1061	8402.6631	17501.4655	13116.1686	16309.5606	5835.7055	14997.9136	4659.473	22968.669	21305.7053	26955.9619	3940.4863	14100.2679	4469.6893	29153.2721	27222.6812	13339.1101	27377.3454	24787.4845	29384.7235	4748.7157	20114.9597	24948.3757	10518.967	24988.6895	21249.6628	31218.9669	8775.5506	35442.8962	43204.8062	44481.7836	6255.3369	13199.1288	30861.5692	39416.4898	7282.4099	12168.8321	8650.248	16382.6121	15390.556	19213.5549	14541.2686	7357.168	17306.6627	1894.1779	21871.2402	19423.346	16315.9894	18015.843	27569.7516	20106.722	26411.6396	51982.381	11233.4804	8810.5646	7072.3372	42790.7167	20937.6085	11207.262	7199.1501	7584.5037	28066.3843	16185.6435	27758.629	25223.7931	21354.6012	9659.1897	30346.5485	33460.515	25706.2841	9551.5172	5676.8565	21043.9086	16184.3137	30280.3529	1019.1134	11451.4445	17704.8173	30216.0197	20381.3376	17158.9565	20296.9765	7423.5743	21795.7075	47717.385	35499.9194	20792.1164	10327.8398	10086.0439	28301.9848	27895.8805	24503.5643	28807.6005	27679.1084	36652.8197	39989.8584	30771.1701	22255.906	23145.9164	36434.3134	26222.9668	10069.5098	41107.4079	5516.934	18904.1237	3146.046	11617.2098	20088.6322	2332.7394	3316.0562	6843.4425	10564.542	17529.216	2159.0414	45674.6408	21427.5464	7119.2351	22355.5043	45362.3491	17070.2708	18474.7821	4500.3263	6827.5268	26312.417	7305.7102	8219.6549	25471.2801	2300.8055	2914.4733	9100.7957	11121.2382	16647.0591	19974.4958	4460.9368	9157.8478	45786.9483	5354.7564	11335.0148	7844.5737	7929.0683	31043.3525	5985.8673	2828.0252	43535.2274	12264.1577	9460.0907	9096.197	29941.7267	16763.7547	39161.5827	3625.3571	17354.9592	4568.7558	10762.181	27045.3031	17975.4515	8971.7348	30444.08	3285.4383	4394.2466	20101.4968	36197.0228	13267.7286	9982.5795	2739.9448	29402.2949	10302.9132	2691.7246	4378.8472	18848.2743	12626.5293	10895.1598	superpathway of L-alanine biosynthesis
PWY0-1241	492.8841	8247.757	61.9088	5108.6593	899.1274	4864.5555	562.2538	1025.776	7848.1569	8985.8741	1594.9998	3162.5381	1924.4736	5655.9871	11313.6546	888.5982	827.0661	14649.2748	72.7869	1135.7529	14953.965	9922.0425	3699.4692	13026.7316	3765.2055	10039.1974	465.9149	6765.9185	23385.6858	21667.2238	2755.2697	2041.0707	11505.0765	20077.32	3198.7417	3799.7373	182.25	149.5991	946.0361	537.4434	78.9586	212.7457	620.9266	668.1304	6524.3914	4285.454	292.8688	20.0	1322.7789	837.3633	4179.3104	26140.5288	2017.7532	149.9052	335.2412	1174.6871	1602.9039	1825.1512	1418.8177	810.4294	13473.7545	1252.339	7377.148	755.0615	1147.5598	380.3528	1021.6038	13174.6372	1603.7608	465.2505	1306.6279	7330.5603	3951.1873	12162.8869	742.5161	990.1357	242.2554	5983.3924	2042.772	2040.3057	4162.1597	4517.4541	4036.8465	12667.8182	20311.8559	1927.4607	1097.8083	3097.4315	7301.6821	14731.5677	3870.8839	592.4694	10475.3239	4628.6887	6699.7031	14170.2856	8478.1122	6280.9391	1400.8309	258.091	805.5247	20034.0201	675.9386	6639.5963	132.1897	2888.0539	5957.2768	1379.9168	2760.3111	1093.3677	2269.3959	5005.0813	1730.7308	25160.0837	1403.8133	4792.8716	8193.0968	26175.7047	4111.5393	3467.9128	111.0809	2411.0692	14103.8358	1749.2052	1541.7558	13445.2977	1254.8579	715.1503	1398.6131	5182.9078	1049.3618	7540.9924	654.0374	180.9403	29727.0	3050.3372	3819.1414	1141.2982	1056.2638	18122.7865	908.2699	872.1263	25054.6993	3137.8959	2999.5494	2235.3076	8840.4291	5958.4046	24144.8212	2663.5325	14642.3529	1023.2355	3729.9639	9265.9061	1499.0061	1169.1572	13428.7574	309.6458	361.3576	4568.7879	20350.4156	1122.8265	33.4499	743.1155	14101.9694	130.1945	469.7221	298.1366	536.1575	3158.2448	1431.5757	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
PWY0-1261	6122.1216	19926.795	276.9009	21571.6617	9384.953	18807.5376	2958.7928	8757.1122	23822.8879	27112.5574	9973.2676	15231.3187	7209.8629	19704.4783	31928.5577	5310.6735	6359.9633	28372.3708	1527.8648	3776.7968	20024.3316	27941.1638	19156.8994	29099.3912	17635.7327	30245.2572	3216.9168	27141.0495	48379.7531	48708.9994	8991.4542	15939.1964	32103.3934	41253.9665	12546.3227	13492.8054	2061.7155	532.5143	9237.6087	10864.0515	2829.1746	2229.7817	4506.6311	1316.3783	18571.203	11864.06	2160.6663	115.0424	11613.2196	12692.0324	15145.6618	46372.442	10420.8847	4847.6016	8422.0784	4392.488	10397.2561	12708.9653	4846.6385	2151.217	30807.6023	14724.8232	24678.7934	14753.7558	2431.1904	2908.6954	10357.1643	29957.7997	9458.1808	5700.0969	7643.2619	21934.6146	10621.1075	28803.0581	1652.145	6866.1373	3720.1967	15892.1652	8686.655	9957.178	13668.457	8978.1448	22590.9237	38039.8244	44011.3503	18245.9947	14828.6648	19480.2178	23078.2059	30805.883	19693.0251	10529.8781	34186.7255	13609.2738	21661.0006	33442.7578	32968.6273	21115.0637	6931.8424	1641.5359	6538.0908	43490.4423	4997.7651	23867.3845	1395.5448	15685.5112	25223.4666	4313.5064	4081.0128	9327.4779	12874.3931	17676.4992	10223.6263	47711.7686	9438.0803	2271.3168	22931.514	47673.5698	20310.0259	15784.3738	1951.3827	12072.5102	28061.8623	9793.5055	3872.7027	33319.9666	3221.9184	650.4644	6388.1315	3656.0524	10594.2967	24515.8083	5002.3817	2347.4679	49554.5304	6549.6505	13088.6232	8987.0012	2207.043	36951.1345	3811.5678	3244.8383	45743.7451	15051.0837	10587.8764	12296.2216	30906.3417	19020.5256	43931.8136	3033.6921	13825.5783	7890.6848	10126.1803	32027.4681	5416.8909	3473.7565	33866.9374	6177.4139	3726.9044	27048.5449	40389.4361	3518.0945	1311.7198	3428.0021	28418.9334	667.7966	3164.162	1293.5325	4644.5515	16926.2779	9698.1198	anhydromuropeptides recycling
PWY0-1277	27.7704	7295.4824	19.4732	1714.2372	838.4795	2657.8778	37.7117	705.7351	1455.0581	1096.2976	195.2536	1469.8505	0.0	63.7582	11769.3129	119.9312	30.8276	1158.9425	0.0	0.0	4314.855	2284.4385	411.1752	5352.4743	3421.1898	2809.6681	0.0	407.1082	22547.1477	23840.583	118.6563	1597.2715	6919.086	116.6914	2246.2841	0.0	0.0	0.0	756.8805	0.0	20.2971	88.2581	189.5853	0.0	4202.862	0.0	0.0	0.0	582.2053	0.0	848.0815	26939.244	0.0	15.9119	0.0	962.2265	413.2323	191.8548	0.0	85.1404	8668.508	48.1513	43.3996	170.7476	0.0	137.7057	286.6921	1820.1739	17.6034	85.6597	986.9462	1644.6397	0.0	13137.6796	12.3363	57.9843	252.9161	6733.1351	437.635	196.3389	2033.9361	0.0	212.1054	14086.212	19650.0767	701.2357	991.8834	1767.7783	642.3499	3539.5409	2901.377	33.7274	0.0	13.2079	1797.2662	12865.4633	2333.4499	118.6278	1364.1722	36.69	812.7393	7031.1486	0.0	3537.9282	0.0	17.9826	2375.4584	37.8898	39.8039	208.3717	85.2301	228.5466	131.2	5803.454	221.207	168.4119	1751.9011	4410.6852	2444.7583	2093.0147	0.0	1077.6536	894.1426	236.8586	0.0	7700.7788	0.0	0.0	51.3738	0.0	976.948	6417.745	91.9162	81.7973	6171.9498	904.2581	2960.8643	985.3672	29.9295	9368.2885	79.5194	174.8307	696.46	2023.464	238.1207	1349.9558	8384.7281	2135.8633	27689.216	105.7627	282.1283	1197.8841	662.2567	10910.6621	98.9214	39.7524	388.9037	29.9008	0.0	318.8758	23508.7295	210.8382	0.0	409.8539	3692.5401	0.0	0.0	0.0	0.0	310.5752	0.0	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY0-1296	8561.2622	11730.9944	2115.9842	20474.6172	35872.8802	16215.3233	12929.0717	14719.4172	20444.4125	12574.3173	6944.1759	17451.6919	9385.007	12363.1842	23457.9295	11522.4013	9481.6486	20031.9961	29263.8687	7658.9326	12335.9	17214.5587	14039.8737	18945.2181	17985.5691	19870.1116	9041.9754	17872.9905	30756.8065	32990.7259	16511.3815	31566.7002	23668.4728	26755.735	8170.8606	13280.1649	11283.3985	3488.8751	5019.2027	14805.2658	5772.3331	19079.2302	4620.6482	7460.7377	11419.0809	5477.2427	2558.8703	1181.5501	10569.3614	10308.2192	10995.2628	27554.4974	13959.8964	28264.4121	15219.8981	2265.9824	11208.9595	13638.1099	21820.4626	5757.6458	22719.916	19811.1268	15639.298	13065.149	13872.7238	24385.972	10503.7401	29747.6247	5363.9324	14391.875	12825.2325	15997.5819	4007.4455	13157.4137	3605.6156	15010.2303	5365.4465	7499.5405	3596.7185	6578.1816	27053.8269	11223.8547	23035.5984	19397.0461	25504.7838	29758.4273	27519.4879	25263.8817	14950.7557	20706.3069	29002.823	12425.2042	26652.016	5090.8869	13201.9396	21597.5186	18708.2746	10720.3026	4077.3143	3968.6099	13747.7837	33331.2668	17096.444	12628.7018	10144.0073	18043.3128	18915.9285	13744.342	11078.1541	11447.7848	13944.9371	16881.8013	7296.4594	31937.3431	18427.2109	19154.6135	21332.1618	29852.8855	20315.055	11240.6064	14668.1966	14608.6957	20291.2884	18965.8628	13902.5089	16705.1418	11545.7182	10185.0669	11760.7019	8360.6527	33239.2153	14545.5795	17432.9612	8736.2173	30493.2851	9635.2816	8582.9691	14298.1466	10905.0828	21954.8723	9428.9972	9692.4457	29443.923	23100.7486	14384.0284	19895.3911	32060.0985	11128.3246	26304.2544	15728.6421	11880.7316	12906.2265	16507.1206	30209.994	20409.648	16731.3042	26289.0885	19497.2775	12074.5321	28923.1013	23581.4896	7604.2057	8441.0085	12366.1988	16932.8366	1331.1179	8608.4375	13847.3185	12233.3771	18866.6069	13787.1189	purine ribonucleosides degradation
PWY0-1297	8269.6253	13305.714	2743.4362	19902.5743	31511.7878	16747.3541	11792.2426	15498.1654	20486.3391	13396.9659	3938.1347	15952.4995	8304.2862	13227.4953	24834.9357	10744.7853	9453.147	17839.8855	26485.6419	7491.1469	13724.4798	17391.6692	14347.9951	19287.614	17868.1322	19762.2969	9293.4763	18827.396	33895.7468	35849.5061	16447.1651	28086.8458	24301.182	26743.6319	9210.777	12589.7596	9441.0978	3797.4669	5634.4345	14884.4029	5918.3212	16906.2032	5212.8202	8533.0814	11600.4567	5528.3256	3028.7163	1236.0238	11346.8663	12301.4317	10191.0414	32004.9512	14454.3995	25130.4614	14321.1469	2523.457	11691.8066	13118.601	20023.4616	7762.8961	23601.5555	18834.8151	15650.4479	12878.8707	12852.848	22726.1544	12320.3415	30857.2103	6243.4332	13811.4447	13759.719	16130.083	4217.9501	15751.6666	4358.2912	15223.3106	6055.3307	8712.4008	4264.8095	7521.9384	25663.8031	10681.5411	23779.0778	20852.6579	29646.4595	26811.7057	23181.0664	24258.8397	15090.1402	20498.8604	27583.2586	14251.3482	26412.8516	5029.6626	13040.5226	23303.0718	21502.6487	13595.6142	4269.52	4308.9675	14245.3837	32355.4066	17086.9443	14416.0302	11650.646	16469.0813	20293.982	14740.9713	12032.5747	12138.0066	15565.6269	17191.4652	8175.7012	31720.6757	18347.5971	15791.1208	18591.8501	30560.0806	19394.25	11797.4939	14583.6459	14714.0675	19963.1469	17196.7268	13425.0206	18068.3196	12441.6064	10259.7849	12597.1394	8746.8561	29665.3818	16508.8238	16155.6506	9459.017	31372.1115	10108.1647	9169.6609	13688.8975	11711.019	22475.2585	9353.8878	9926.7184	28846.4738	25742.8571	15093.2853	18428.327	30962.2271	11144.764	28401.7826	15325.1487	12565.4319	14075.1081	11775.5178	29360.873	19115.6849	13668.3039	24275.809	18291.3782	11453.6718	25873.9227	27123.3743	8372.0129	8982.4004	12330.3316	17520.3564	1612.0578	8632.2409	12630.199	12302.3583	18870.3514	12687.9342	superpathway of purine deoxyribonucleosides degradation
